#Number;State;DataSource;Name;Identifier;Year;Description;Standard;Platform;Language;Wikipedia;Domain;Width;MinWidth;MaxWidth;ReplacementChar;GeneratesNFC;ContainsBIDI;JavaLibrary
;;Group;Unicode and ISO 10646;Unicode;;Unicode encodings in its latest version in logical group order;;;;;;;;;;;;
1;checked;IANA;ISO-10646-UCS-Basic;UCS_Basic;1993;ISO 10646 Basic plane 0x20-0x7E;UNICODE;unicode;latin;https://en.wikipedia.org/wiki/Universal_Coded_Character_Set;ascii;fixed8;1;1;U+001A;yes;no;
2;checked;IANA;ISO-10646-Unicode-Latin1;Unicode_Latin1;1993;ISO 10646 Basic plane 0x20-0x7E plus Latin-1 Supplement plane 0xA0-0xFF;UNICODE;unicode;latin;https://en.wikipedia.org/wiki/Universal_Coded_Character_Set;ascii;fixed8;1;1;U+001A;yes;no;
3;checked;IANA;ISO-10646-J-1;ISO_10646_J_1;1993;ISO 10646 Basic plane 0x20-0x7E plus Latin-1 Supplement plane 0xA0-0xFF plus Japanese Ideographic Supplement (Appendix A.4.3 372);UNICODE;unicode;japanese;https://en.wikipedia.org/wiki/Universal_Coded_Character_Set;ascii;fixed8;1;1;U+001A;yes;no;
4;checked;IANA;UNICODE-1-1;UNICODE_1_1;1994;Unicode Version 1.1;UNICODE;unicode;any;;ascii;fixed32;4;4;U+001A;yes;no;
5;checked;IANA;UNICODE-1-1-UTF-7;UNICODE_1_1_UTF_7;1994;UTF-7 of Unicode Version 1.1;UNICODE;unicode;any;;ascii;varying8;1;7;U+001A;yes;no;
6;checked;IANA;ISO-10646-UCS-2;UCS_2;1993;Universal Coded Character Set 2 Bytes, platform endian;UNICODE;unicode;any;https://en.wikipedia.org/wiki/UCS-2;ascii;fixed16;2;2;U+001A;yes;no;
7;checked;GNU_ICONV;UCS-2BE;UCS_2BE;1993;Universal Coded Character Set 2 Bytes, big endian;UNICODE;unicode;any;https://en.wikipedia.org/wiki/UCS-2;ascii;fixed16;2;2;U+001A;yes;no;rt.jar
8;checked;GNU_ICONV;UCS-2LE;UCS_2LE;1993;Universal Coded Character Set 2 Bytes, little endian;UNICODE;unicode;any;https://en.wikipedia.org/wiki/UCS-2;ascii;fixed16;2;2;U+001A;yes;no;rt.jar
9;checked;GNU_ICONV;UCS-2-SWAPPED;UCS_2_OppositeEndian;1993;Universal Coded Character Set 2 Bytes, opposite endian from platform;UNICODE;unicode;any;https://en.wikipedia.org/wiki/UCS-2;ascii;fixed16;2;2;U+001A;yes;no;
10;checked;IANA;ISO-10646-UCS-4;UCS_4;2001;Universal Character Set 4 Bytes, platform endian;UNICODE;unicode;any;https://en.wikipedia.org/wiki/UCS-4;ascii;fixed32;4;4;U+001A;yes;no;
11;checked;GNU_ICONV;UCS-4BE;UCS_4BE;2001;Universal Character Set 4 Bytes, big endian;UNICODE;unicode;any;https://en.wikipedia.org/wiki/UCS-4;ascii;fixed32;4;4;U+001A;yes;no;
12;checked;GNU_ICONV;UCS-4LE;UCS_4LE;2001;Universal Character Set 4 Bytes, little endian;UNICODE;unicode;any;https://en.wikipedia.org/wiki/UCS-4;ascii;fixed32;4;4;U+001A;yes;no;
